Produit;Paneliste;Appreciation_globale;Appreciation_texture
Om_;34;7;2
BCm;35;2;1
Bco_;35;2;6
Bmc_;35;7;8
Bo;35;7;1
Mb;35;8;2
MCb_;35;3;8
MCo;35;2;9
Moc_;35;3;10
Obc;35;4;5
obm_;35;8;6
obmc_;35;7;5
obmc1;35;3;2
obm2;35;3;1
Ocb_;35;3;8
OCm;35;1;6
Om_;35;7;1
BCm;36;4;8
Bco_;36;4;9
Bmc_;36;7;2
Bo;36;3;0
Mb;36;9;5
MCb_;36;3;4
MCo;36;1;6
Moc_;36;6;0
Obc;36;4;5
obm_;36;8;6
obmc_;36;7;5
obmc1;36;7;2
obm2;36;6;5
Ocb_;36;2;6
OCm;36;4;5
Om_;36;7;1
BCm;37;6;6
Bco_;37;3;5
Bmc_;37;6;8
Bo;37;5;5
Mb;37;6;5
MCb_;37;5;1
MCo;37;4;6
Moc_;37;6;2
Obc;37;6;4
obm_;37;7;6
obmc_;37;6;2
obmc1;37;7;6
obm2;37;7;4
Ocb_;37;4;8
OCm;37;5;5
Om_;37;4;6
BCm;38;6;2
Bco_;38;8;1
Bmc_;38;8;4
Bo;38;6;5
Mb;38;5;6
MCb_;38;7;2
MCo;38;4;6
Moc_;38;5;2
Obc;38;5;1
obm_;38;6;5
obmc_;38;7;6
obmc1;38;6;3
obm2;38;6;5
Ocb_;38;4;3
OCm;38;5;5
Om_;38;7;4
BCm;39;9;8
Bco_;39;9;2
Bmc_;39;8;6
Bo;39;3;2
Mb;39;7;6
MCb_;39;10;3
MCo;39;8;1
Moc_;39;7;6
Obc;39;6;6
obm_;39;6;2
obmc_;39;7;1
obmc1;39;8;8
obm2;39;8;9
Ocb_;39;7;6
OCm;39;6;2
Om_;39;8;0
BCm;40;4;4
Bco_;40;4;6
Bmc_;40;5;6
Bo;40;10;4
Mb;40;9;5
MCb_;40;4;2
MCo;40;5;1
Moc_;40;6;2
Obc;40;5;6
obm_;40;7;5
obmc_;40;7;2
obmc1;40;6;4
obm2;40;8;1
Ocb_;40;3;2
OCm;40;3;6
Om_;40;4;5
BCm;41;3;2
Bco_;41;1;1
Bmc_;41;6;5
Bo;41;5;2
Mb;41;6;6
MCb_;41;5;2
MCo;41;1;1
Moc_;41;8;5
Obc;41;5;6
obm_;41;6;2
obmc_;41;3;1
obmc1;41;7;2
obm2;41;6;8
Ocb_;41;5;9
OCm;41;1;8
Om_;41;4;2
BCm;42;6;1
Bco_;42;5;6
Bmc_;42;5;8
Bo;42;1;1
Mb;42;7;2
MCb_;42;3;8
MCo;42;4;9
Moc_;42;1;10
Obc;42;8;5
obm_;42;5;6
obmc_;42;6;5
obmc1;42;8;2
obm2;42;2;1
Ocb_;42;1;8
OCm;42;9;6
Om_;42;9;1
BCm;43;5;8
Bco_;43;8;9
Bmc_;43;9;2
Bo;43;4;0
Mb;43;7;5
MCb_;43;7;4
MCo;43;5;6
Moc_;43;9;0
Obc;43;5;5
obm_;43;6;6
obmc_;43;7;5
obmc1;43;8;2
obm2;43;8;5
Ocb_;43;3;6
OCm;43;6;5
Om_;43;9;1
BCm;44;5;6
Bco_;44;4;5
Bmc_;44;7;8
Bo;44;4;5
Mb;44;8;5
MCb_;44;4;1
MCo;44;4;6
Moc_;44;5;2
Obc;44;4;4
obm_;44;7;6
obmc_;44;6;2
obmc1;44;5;6
obm2;44;7;4
Ocb_;44;4;8
OCm;44;3;5
Om_;44;7;6
BCm;45;6;2
Bco_;45;3;1
Bmc_;45;7;4
Bo;45;7;5
Mb;45;7;6
MCb_;45;2;2
MCo;45;3;6
Moc_;45;5;2
Obc;45;4;1
obm_;45;8;5
obmc_;45;7;6
obmc1;45;4;3
obm2;45;5;5
Ocb_;45;1;3
OCm;45;3;5
Om_;45;3;4
BCm;46;4;8
Bco_;46;5;2
Bmc_;46;1;6
Bo;46;10;2
Mb;46;6;6
MCb_;46;4;3
MCo;46;7;1
Moc_;46;6;6
Obc;46;6;6
obm_;46;10;2
obmc_;46;8;1
obmc1;46;9;8
obm2;46;8;9
Ocb_;46;6;6
OCm;46;5;2
Om_;46;6;0
BCm;47;5;4
Bco_;47;4;6
Bmc_;47;7;6
Bo;47;7;4
Mb;47;6;5
MCb_;47;3;2
MCo;47;5;1
Moc_;47;7;2
Obc;47;6;6
obm_;47;7;5
obmc_;47;7;2
obmc1;47;6;4
obm2;47;6;1
Ocb_;47;3;2
OCm;47;6;6
Om_;47;4;5
BCm;48;3;2
Bco_;48;2;1
Bmc_;48;4;5
Bo;48;10;2
Mb;48;3;6
MCb_;48;10;2
MCo;48;3;1
Moc_;48;4;5
Obc;48;10;6
obm_;48;10;2
obmc_;48;3;1
obmc1;48;10;2
obm2;48;4;8
Ocb_;48;3;8
OCm;48;3;2
Om_;48;3;1
BCm;49;3;6
Bco_;49;2;8
Bmc_;49;5;1
Bo;49;5;2
Mb;49;7;8
MCb_;49;5;9
MCo;49;4;10
Moc_;49;4;5
Obc;49;8;6
obm_;49;8;5
obmc_;49;5;2
obmc1;49;6;1
obm2;49;9;8
Ocb_;49;4;6
OCm;49;2;1
Om_;49;8;8
BCm;50;2;9
Bco_;50;2;2
Bmc_;50;5;0
Bo;50;8;5
Mb;50;5;4
MCb_;50;2;6
MCo;50;5;0
Moc_;50;7;5
Obc;50;4;6
obm_;50;7;5
obmc_;50;3;2
obmc1;50;7;5
obm2;50;8;6
Ocb_;50;4;5
OCm;50;4;1
Om_;50;6;6
BCm;51;4;5
Bco_;51;6;8
Bmc_;51;8;5
Bo;51;10;5
Mb;51;6;1
MCb_;51;6;6
MCo;51;4;2
Moc_;51;9;4
Obc;51;7;6
obm_;51;8;2
obmc_;51;5;6
obmc1;51;10;4
obm2;51;10;8
Ocb_;51;4;5
OCm;51;7;6
Om_;51;4;2
BCm;52;6;1
Bco_;52;4;4
Bmc_;52;6;5
Bo;52;9;6
Mb;52;10;2
MCb_;52;4;6
MCo;52;7;2
Moc_;52;7;1
Obc;52;7;5
obm_;52;5;6
obmc_;52;5;3
obmc1;52;4;5
obm2;52;5;3
Ocb_;52;4;5
OCm;52;9;4
Om_;52;4;8
BCm;53;5;2
Bco_;53;6;6
Bmc_;53;5;2
Bo;53;7;6
Mb;53;9;3
MCb_;53;7;1
MCo;53;4;6
Moc_;53;8;6
Obc;53;5;2
obm_;53;8;1
obmc_;53;5;8
obmc1;53;7;9
obm2;53;7;6
Ocb_;53;5;2
OCm;53;6;0
Om_;53;5;4
BCm;54;6;6
Bco_;54;5;6
Bmc_;54;2;4
Bo;54;3;5
Mb;54;3;2
MCb_;54;4;1
MCo;54;6;2
Moc_;54;5;6
Obc;54;3;5
obm_;54;1;2
obmc_;54;2;4
obmc1;54;6;1
obm2;54;4;2
Ocb_;54;6;6
OCm;54;6;5
Om_;54;8;2
BCm;55;8;1
Bco_;55;2;5
Bmc_;55;8;2
Bo;55;1;6
Mb;55;6;2
MCb_;55;4;1
MCo;55;3;5
Moc_;55;8;6
Obc;55;5;2
obm_;55;8;1
obmc_;55;7;8
obmc1;55;6;2
obm2;55;7;1
Ocb_;55;5;6
OCm;55;3;8
Om_;55;6;1
BCm;56;4;2
Bco_;56;9;8
Bmc_;56;6;9
Bo;56;7;10
Mb;56;8;5
MCb_;56;7;6
MCo;56;5;5
Moc_;56;6;2
Obc;56;5;1
obm_;56;9;8
obmc_;56;7;6
obmc1;56;4;1
obm2;56;7;8
Ocb_;56;4;9
OCm;56;5;2
Om_;56;6;0
BCm;57;5;5
Bco_;57;4;4
Bmc_;57;8;6
Bo;57;4;0
Mb;57;9;5
MCb_;57;7;6
MCo;57;5;5
Moc_;57;7;2
Obc;57;6;5
obm_;57;8;6
obmc_;57;8;5
obmc1;57;7;1
obm2;57;6;6
Ocb_;57;6;5
OCm;57;4;8
Om_;57;7;5
BCm;58;8;5
Bco_;58;6;1
Bmc_;58;7;6
Bo;58;8;2
Mb;58;8;4
MCb_;58;7;6
MCo;58;9;2
Moc_;58;8;6
Obc;58;8;4
obm_;58;8;8
obmc_;58;8;5
obmc1;58;8;6
obm2;58;9;2
Ocb_;58;7;1
OCm;58;9;4
Om_;58;7;5
BCm;59;7;6
Bco_;59;9;2
Bmc_;59;7;6
Bo;59;10;2
Mb;59;8;1
MCb_;59;7;5
MCo;59;5;6
Moc_;59;7;3
Obc;59;5;5
obm_;59;8;3
obmc_;59;7;5
obmc1;59;8;4
obm2;59;10;8
Ocb_;59;7;2
OCm;59;5;6
Om_;59;8;2
BCm;60;1;6
Bco_;60;2;3
Bmc_;60;3;1
Bo;60;8;6
Mb;60;8;6
MCb_;60;3;2
MCo;60;1;1
Moc_;60;3;8
Obc;60;3;9
obm_;60;4;6
obmc_;60;4;2
obmc1;60;4;0
obm2;60;2;4
Ocb_;60;2;6
OCm;60;1;6
Om_;60;7;4
BCm;61;5;5
Bco_;61;5;2
Bmc_;61;6;1
Bo;61;5;2
Mb;61;6;6
MCb_;61;3;5
MCo;61;3;2
Moc_;61;4;4
Obc;61;3;1
obm_;61;4;2
obmc_;61;4;6
obmc1;61;4;5
obm2;61;3;2
Ocb_;61;3;1
OCm;61;4;5
Om_;61;5;2
BCm;62;8;6
Bco_;62;6;2
Bmc_;62;8;1
Bo;62;7;5
Mb;62;6;8
MCb_;62;8;2
MCo;62;4;1
Moc_;62;8;6
Obc;62;4;8
obm_;62;9;1
obmc_;62;8;2
obmc1;62;6;8
obm2;62;9;9
Ocb_;62;4;10
OCm;62;4;5
Om_;62;7;6
BCm;63;6;5
Bco_;63;2;2
Bmc_;63;7;1
Bo;63;9;8
Mb;63;8;6
MCb_;63;1;1
MCo;63;2;8
Moc_;63;5;9
Obc;63;4;2
obm_;63;7;0
obmc_;63;8;5
obmc1;63;4;4
obm2;63;3;6
Ocb_;63;2;0
OCm;63;1;5
Om_;63;5;6
BCm;64;4;5
Bco_;64;3;2
Bmc_;64;9;5
Bo;64;7;6
Mb;64;9;5
MCb_;64;5;1
MCo;64;4;6
Moc_;64;6;5
Obc;64;7;8
obm_;64;8;5
obmc_;64;5;5
obmc1;64;7;1
obm2;64;7;6
Ocb_;64;2;2
OCm;64;5;4
Om_;64;7;6
BCm;65;6;2
Bco_;65;3;6
Bmc_;65;9;4
Bo;65;9;8
Mb;65;7;5
MCb_;65;8;6
MCo;65;2;2
Moc_;65;6;1
Obc;65;5;4
obm_;65;1;5
obmc_;65;6;6
obmc1;65;5;2
obm2;65;6;6
Ocb_;65;3;2
OCm;65;8;1
Om_;65;6;5
BCm;66;4;6
Bco_;66;5;3
Bmc_;66;5;5
Bo;66;5;3
Mb;66;6;5
MCb_;66;5;4
MCo;66;4;8
Moc_;66;7;2
Obc;66;5;6
obm_;66;4;2
obmc_;66;6;6
obmc1;66;7;3
obm2;66;7;1
Ocb_;66;3;6
OCm;66;3;6
Om_;66;6;2
BCm;67;5;1
Bco_;67;2;8
Bmc_;67;3;9
Bo;67;4;6
Mb;67;7;2
MCb_;67;8;0
MCo;67;2;4
Moc_;67;5;6
Obc;67;4;6
obm_;67;6;4
obmc_;67;4;5
obmc1;67;8;2
obm2;67;4;1
Ocb_;67;4;2
OCm;67;4;6
Om_;67;7;5
BCm;68;6;2
Bco_;68;2;4
Bmc_;68;7;1
Bo;68;8;2
Mb;68;9;6
MCb_;68;4;5
MCo;68;7;2
Moc_;68;5;1
Obc;68;5;5
obm_;68;8;2
obmc_;68;6;6
obmc1;68;5;2
obm2;68;4;1
Ocb_;68;1;5
OCm;68;3;6
Om_;68;4;2
BCm;69;1;1
Bco_;69;3;2
Bmc_;69;10;8
Bo;69;8;8
Mb;69;6;2
MCb_;69;7;1
MCo;69;4;6
Moc_;69;8;8
Obc;69;4;1
obm_;69;3;2
obmc_;69;6;8
obmc1;69;7;9
obm2;69;7;10
Ocb_;69;1;5
OCm;69;4;6
Om_;69;8;5
BCm;70;3;2
Bco_;70;3;1
Bmc_;70;10;8
Bo;70;8;6
Mb;70;8;1
MCb_;70;4;8
MCo;70;7;9
Moc_;70;9;2
Obc;70;5;0
obm_;70;10;5
obmc_;70;7;4
obmc1;70;8;6
obm2;70;8;0
Ocb_;70;4;5
OCm;70;3;6
Om_;70;8;5
BCm;71;4;2
Bco_;71;3;5
Bmc_;71;3;6
Bo;71;9;5
Mb;71;6;1
MCb_;71;1;6
MCo;71;5;5
Moc_;71;6;8
Obc;71;5;5
obm_;71;10;5
obmc_;71;7;1
obmc1;71;6;6
obm2;71;4;2
Ocb_;71;1;4
OCm;71;3;6
Om_;71;6;2
BCm;72;6;6
Bco_;72;3;4
Bmc_;72;3;8
Bo;72;5;5
Mb;72;6;6
MCb_;72;3;2
MCo;72;5;1
Moc_;72;5;4
Obc;72;4;5
obm_;72;7;6
obmc_;72;7;2
obmc1;72;6;6
obm2;72;6;2
Ocb_;72;2;1
OCm;72;4;5
Om_;72;2;6
BCm;73;3;3
Bco_;73;6;5
Bmc_;73;7;3
Bo;73;9;5
Mb;73;6;4
MCb_;73;4;8
MCo;73;4;2
Moc_;73;1;6
Obc;73;7;2
obm_;73;7;6
obmc_;73;8;3
obmc1;73;4;1
obm2;73;9;6
Ocb_;73;3;6
OCm;73;7;2
Om_;73;2;1
BCm;74;7;8
Bco_;74;3;9
Bmc_;74;4;6
Bo;74;7;2
Mb;74;6;0
MCb_;74;7;4
MCo;74;7;6
Moc_;74;6;6
Obc;74;4;4
obm_;74;3;5
obmc_;74;7;2
obmc1;74;5;1
obm2;74;5;2
Ocb_;74;4;6
OCm;74;4;5
Om_;74;3;2
BCm;75;4;4
Bco_;75;5;1
Bmc_;75;4;2
Bo;75;6;6
Mb;75;7;5
MCb_;75;3;2
MCo;75;6;1
Moc_;75;6;5
Obc;75;4;2
obm_;75;7;6
obmc_;75;7;2
obmc1;75;4;1
obm2;75;3;5
Ocb_;75;3;6
OCm;75;4;2
Om_;75;6;1
BCm;76;4;2
Bco_;76;5;8
Bmc_;76;7;8
Bo;76;5;2
Mb;76;8;1
MCb_;76;6;6
MCo;76;5;8
Moc_;76;5;1
Obc;76;5;2
obm_;76;6;8
obmc_;76;6;9
obmc1;76;6;10
obm2;76;6;5
Ocb_;76;5;6
OCm;76;4;5
Om_;76;6;2
BCm;77;3;1
Bco_;77;4;8
Bmc_;77;4;6
Bo;77;3;1
Mb;77;6;8
MCb_;77;2;9
MCo;77;3;2
Moc_;77;6;0
Obc;77;5;5
obm_;77;6;4
obmc_;77;5;6
obmc1;77;3;0
obm2;77;4;5
Ocb_;77;4;6
OCm;77;6;5
Om_;77;7;2
BCm;78;8;5
Bco_;78;4;6
Bmc_;78;8;5
Bo;78;7;1
Mb;78;8;6
MCb_;78;4;5
MCo;78;5;8
Moc_;78;6;5
Obc;78;4;5
obm_;78;6;1
obmc_;78;7;6
obmc1;78;7;2
obm2;78;7;4
Ocb_;78;7;6
OCm;78;6;2
Om_;78;7;6
BCm;79;4;4
Bco_;79;4;8
Bmc_;79;7;5
Bo;79;8;6
Mb;79;9;2
MCb_;79;3;1
MCo;79;2;4
Moc_;79;7;5
Obc;79;5;6
obm_;79;8;2
obmc_;79;8;6
obmc1;79;7;2
obm2;79;7;1
Ocb_;79;4;5
OCm;79;3;6
Om_;79;8;3
BCm;80;5;5
Bco_;80;4;3
Bmc_;80;5;5
Bo;80;3;4
Mb;80;4;8
MCb_;80;3;2
MCo;80;5;6
Moc_;80;4;2
Obc;80;2;6
obm_;80;3;3
obmc_;80;4;1
obmc1;80;3;6
obm2;80;4;6
Ocb_;80;4;2
OCm;80;5;1
Om_;80;3;8
BCm;81;8;9
Bco_;81;7;6
Bmc_;81;7;2
Bo;81;7;0
Mb;81;8;4
MCb_;81;7;6
MCo;81;7;6
Moc_;81;7;4
Obc;81;7;5
obm_;81;8;2
obmc_;81;5;1
obmc1;81;7;2
obm2;81;8;6
Ocb_;81;6;5
OCm;81;6;2
Om_;81;8;4
BCm;82;8;1
Bco_;82;5;2
Bmc_;82;5;6
Bo;82;3;5
Mb;82;6;2
MCb_;82;6;1
MCo;82;7;5
Moc_;82;7;2
Obc;82;4;6
obm_;82;4;2
obmc_;82;5;1
obmc1;82;5;5
obm2;82;6;6
Ocb_;82;5;2
OCm;82;6;8
Om_;82;5;2
BCm;83;3;1
Bco_;83;3;6
Bmc_;83;8;8
Bo;83;4;1
Mb;83;4;2
MCb_;83;2;8
MCo;83;1;9
Moc_;83;2;10
